damping, xx, xy, xz, yx, yy, yz, zx, zy, zz
1.000000e-05, 9.410062e+05, 1.545427e+06, -2.181737e+05, 1.545427e+06, 2.727055e+06, 1.291278e+05, -2.181737e+05, 1.291278e+05, 2.391473e+06
2.000000e-05, 4.687390e+05, 7.705019e+05, -1.066239e+05, 7.705019e+05, 1.361152e+06, 6.893013e+04, -1.066239e+05, 6.893013e+04, 1.197493e+06
3.000000e-05, 3.131466e+05, 5.141945e+05, -7.258909e+04, 5.141945e+05, 9.072892e+05, 4.348554e+04, -7.258909e+04, 4.348554e+04, 8.000699e+05
5.000000e-05, 1.877580e+05, 3.086649e+05, -4.269147e+04, 3.086649e+05, 5.452413e+05, 2.737368e+04, -4.269147e+04, 2.737368e+04, 4.789518e+05
7.000000e-05, 1.342183e+05, 2.203548e+05, -3.129645e+04, 2.203548e+05, 3.887579e+05, 1.817645e+04, -3.129645e+04, 1.817645e+04, 3.412020e+05
1.000000e-04, 9.356060e+04, 1.537642e+05, -2.156247e+04, 1.537642e+05, 2.715367e+05, 1.319482e+04, -2.156247e+04, 1.319482e+04, 2.396729e+05
2.000000e-04, 4.698574e+04, 7.715833e+04, -1.095145e+04, 7.715833e+04, 1.361123e+05, 6.264957e+03, -1.095145e+04, 6.264957e+03, 1.193501e+05
3.000000e-04, 3.119043e+04, 5.121057e+04, -7.211359e+03, 5.121057e+04, 9.036472e+04, 4.377131e+03, -7.211359e+03, 4.377131e+03, 7.957712e+04
4.000000e-04, 2.343989e+04, 3.849601e+04, -5.396327e+03, 3.849601e+04, 6.791437e+04, 3.230818e+03, -5.396327e+03, 3.230818e+03, 5.942325e+04
5.000000e-04, 1.859240e+04, 3.051735e+04, -4.361869e+03, 3.051735e+04, 5.384242e+04, 2.530134e+03, -4.361869e+03, 2.530134e+03, 4.763319e+04
